path,#droplet,x,y,radius,R,G,B,H,S,V,gray
Image_10449.jpg,1,652,554,64,163.1061561210989,53.87967935247879,1.1401665499260643,9.762082652346486,253.09743948945444,163.1061561210989,80.52609144680518
Image_10449.jpg,2,1046,421,66,130.6590825956544,42.05069866120419,1.320579413270905,9.424829907089034,252.32072572975346,130.6590825956544,63.90137186334041
Image_10449.jpg,3,784,949,66,108.82003072646134,35.240690613797646,1.586948569756383,9.366595947033433,251.35342746360377,108.82003072646134,53.404386714463385
Image_10449.jpg,4,1364,689,64,153.26803642306794,50.7704101486497,1.264145069655226,9.76862012607985,252.6756167795159,153.26803642306794,75.77348618569539
Image_10449.jpg,5,527,461,61,163.00634158882508,53.637672465506895,1.1232324963578713,9.745136686948324,253.15785414345703,163.00634158882508,80.35225837689603
Image_10449.jpg,6,689,319,63,164.61177604626877,53.346855169089885,1.3147240742228292,9.54960237770102,252.9356574825287,164.61177604626877,80.68340356655152
Image_10449.jpg,7,787,498,64,115.40983734142735,37.29052844579345,1.451552650011674,9.418242664798816,251.8847381119153,115.40983734142735,56.56255856486886
Image_10449.jpg,8,1115,640,66,171.83202867803058,57.88206891506328,1.4681395859243545,9.864145145950692,252.71614602384957,171.83202867803058,85.52191894066866
Image_10449.jpg,9,522,820,64,135.36189586738269,44.00147871429683,1.2926297766363142,9.5210522219628,252.51459257529768,135.36189586738269,66.4494346641762
Image_10449.jpg,10,1391,100,61,167.19718913360185,54.16856628674265,1.3874367983546148,9.567058016968035,252.8454023481018,167.19718913360185,81.94707575627731
Image_10449.jpg,11,1448,604,65,120.18652262597266,39.14867417088464,1.422678854725391,9.516280123895143,252.01820654226788,120.18652262597266,59.078227392913796
Image_10449.jpg,12,804,651,64,139.29208498715855,45.383064829947855,1.3359016265857264,9.56914935014398,252.4664954471165,139.29208498715855,68.44048525177057
Image_10449.jpg,13,178,704,57,184.50122729504173,64.84496809032892,2.608836524300442,10.197447226313205,251.49131075110458,184.50122729504173,93.52727059401079
Image_10449.jpg,14,1233,697,63,115.38597477709052,37.82159209575066,1.6539481082817897,9.524218812756045,251.46959595148203,115.38597477709052,56.890231102899826
Image_10449.jpg,15,860,281,63,160.96802956060728,52.18081773636437,1.1316571612177686,9.614587517069644,253.1433046831071,160.96802956060728,78.88858976624628
Image_10449.jpg,16,757,222,62,188.28813137596418,64.37720826076138,2.0586381355229326,9.952724558347848,252.2076801857842,188.28813137596418,94.32225727792984
Image_10449.jpg,17,1351,400,64,187.04187096272082,64.37193555918749,1.5647132072534828,10.076659662230524,252.83376138220873,187.04187096272082,93.89022289672347
Image_10449.jpg,18,1140,281,64,151.06996653436065,48.29348587438711,1.4513969958751654,9.35551404778582,252.4176200482528,151.06996653436065,73.68365545956884
Image_10449.jpg,19,166,816,64,75.39536150673204,24.652813448517396,1.4987158533738034,9.40913689781306,250.1194645497704,75.39536150673204,37.1852681920772
Image_10449.jpg,20,1358,1046,63,140.3887862478914,46.28861755964334,1.1950357458430396,9.727608643264519,252.7097758856133,140.3887862478914,69.28389967065628
Image_10449.jpg,21,1130,1057,65,109.85427211603837,35.632091863715345,1.5399259650978319,9.423812042003474,251.40651204955805,109.85427211603837,53.93801684671754
Image_10449.jpg,22,179,585,61,148.51478275773417,48.39797754734767,1.110377924415117,9.62730311080641,253.02887993829805,148.51478275773417,72.94211594823892
Image_10449.jpg,23,647,441,63,108.6328219134067,34.63764157763676,1.649369427263234,9.241866816611775,251.2211422604225,108.6328219134067,53.00153747288939
Image_10449.jpg,24,293,491,64,113.58720522997899,36.64503074169196,1.362907619269982,9.391003190909798,251.97260487197448,113.58720522997899,55.628578877733666
Image_10449.jpg,25,463,713,63,118.14434894369026,38.10298015904892,1.407261627439955,9.449514017190136,251.9828901919833,118.14434894369026,57.852037513053254
Image_10449.jpg,26,421,585,63,172.41971242670093,57.89388705920154,1.2090127721102097,9.918065708089003,253.20194393123947,172.41971242670093,85.67503317535544
Image_10449.jpg,27,1170,433,62,120.40731525255039,39.06726383014017,1.4363440325122336,9.425976611097289,252.0652732852285,120.40731525255039,59.09801434851124
Image_10449.jpg,28,241,918,60,131.45118382548551,42.628181253879575,1.2306464485235435,9.518311607697083,252.5455351600603,131.45118382548551,64.46694005497916
Image_10449.jpg,29,64,637,62,99.82690553205607,32.25337977938127,1.46562163058804,9.372480716596169,251.2751928340383,99.82690553205607,48.94805955046861
Image_10449.jpg,30,562,332,63,101.5062253996305,32.77186922644389,1.3689452968109888,9.389187886577234,251.5817334725681,101.5062253996305,49.743508394248536
Image_10449.jpg,31,261,1053,61,148.32247836147056,48.46062216128203,1.2498928785671437,9.629102750878396,252.76347587625332,148.32247836147056,72.9372940269089
Image_10449.jpg,32,1014,305,59,169.84966541387845,55.76386469887249,1.6028050233751947,9.652213768448071,252.63543862865524,169.84966541387845,83.70115830965257
Image_10449.jpg,33,384,120,61,143.15374068043533,45.32153569286143,1.3541006084497387,9.264632787728168,252.47347673322477,143.15374068043533,69.56107738452309
Image_10449.jpg,34,450,365,64,105.67476068176512,33.53319324461047,1.6236282979220173,9.208576542921628,251.286714919449,105.67476068176512,51.46583150439723
Image_10449.jpg,35,1032,194,64,83.39979764962254,27.018756323449296,1.4118608452019612,9.378939995330375,250.91898202194724,83.39979764962254,40.9575015954549
Image_10449.jpg,36,540,609,62,146.54972215310607,48.05523762129883,1.3155843078709464,9.63357385751016,252.58671311271462,146.54972215310607,72.17676801857841
Image_10449.jpg,37,426,242,69,149.32285045165608,48.083305453328876,1.4491134158581465,9.421880227500836,252.1997992639679,149.32285045165608,73.03763151555704
Image_10449.jpg,38,1436,217,64,90.10771266246401,29.507276830881782,1.4671180636625418,9.518483928710406,251.05089890263835,90.10771266246401,44.43022904506187
Image_10449.jpg,39,1547,90,65,119.90035160620106,38.4042672207128,1.4272015342816047,9.316445580949337,251.86031644558096,119.90035160620106,58.55621096372064
Image_10449.jpg,40,1116,84,65,124.675077434464,39.102666767394425,1.4179950139759765,9.12940998715721,252.0364886303543,124.675077434464,60.392764976958524
Image_10449.jpg,41,1312,285,64,128.12927076037045,41.05611331621138,1.694762238306483,9.307339092536385,251.54447816950736,128.12927076037045,62.60379336913378
Image_10449.jpg,42,553,941,64,112.60409370379018,36.49809323682777,1.45793446960853,9.43209588294809,251.66223052377617,112.60409370379018,55.25920927698654
Image_10449.jpg,43,301,615,64,113.0656082185384,36.65491477936026,1.4197992061639038,9.426414506965523,251.83337224686747,113.0656082185384,55.48490894233014
Image_10449.jpg,44,358,853,60,150.36286246342112,49.21539416511484,1.2508645916467145,9.634565930655317,252.8013656114215,150.36286246342112,73.99053081493304
Image_10449.jpg,45,899,597,60,184.26558481865743,64.5324111022435,1.9083089474150927,10.257515296621442,252.3186131063226,184.26558481865743,93.1934823978008
Image_10449.jpg,46,1263,510,58,211.06894262683736,100.93276434329066,12.433096254148886,12.98406827880512,241.02418207681364,211.06894262683736,123.77451948790895
Image_10449.jpg,47,1018,549,68,103.11819499068515,33.353342993169115,1.5181121920927345,9.377768577934175,251.34147519492168,103.11819499068515,50.5838174291037
Image_10449.jpg,48,330,736,65,93.56568708921961,30.449724257762334,1.425322958374254,9.465286696381355,251.17035582080533,93.56568708921961,46.01261539623782
Image_10449.jpg,49,739,1041,60,172.29458189234725,58.75897845171588,1.7744080872572492,9.947947149064467,252.39514055156513,172.29458189234725,86.20988285891637
